prompt_tokens,completion_tokens,total_tokens
888,782,1670
1340,1298,2638
1429,204,1633
744,303,1047
1001,816,1817
1421,843,2264
2030,185,2215
1326,324,1650
1623,1034,2657
2240,1634,3874
1274,152,1426
537,209,746
752,723,1475
1173,712,1885
1729,185,1914
1025,259,1284
1257,842,2099
1747,1372,3119
1407,136,1543
654,139,793
815,518,1333
1101,982,2083
1504,173,1677
788,231,1019
1004,798,1802
1478,1791,3269
1333,152,1485
596,312,908
914,1016,1930
1525,2131,3656
1306,185,1491
602,246,848
821,795,1616
1277,990,2267
1407,218,1625
736,375,1111
1051,964,2015
1547,1663,3210
1525,185,1710
821,222,1043
1016,689,1705
1390,859,2249
1298,152,1450
561,206,767
773,712,1485
1186,785,1971
1589,185,1774
885,249,1134
1107,898,2005
1663,1316,2979
1235,136,1371
482,184,666
688,1079,1767
1490,1638,3128
1452,185,1637
748,237,985
958,818,1776
1446,1367,2813
1521,185,1706
817,284,1101
1074,469,1543
1165,390,1555
1104,136,1240
351,170,521
543,583,1126
862,734,1596
1161,185,1346
457,260,717
690,695,1385
1032,752,1784
1336,173,1509
620,236,856
841,702,1543
1214,1797,3011
1251,185,1436
547,300,847
820,917,1737
1344,1099,2443
1194,136,1330
441,267,708
730,619,1349
989,1029,2018
1114,130,1244
355,204,559
587,603,1190
893,582,1475
1259,185,1444
555,224,779
752,761,1513
1196,763,1959
1162,136,1298
409,176,585
607,641,1248
979,889,1868
1289,136,1425
536,174,710
732,569,1301
1034,666,1700
1109,185,1294
405,196,601
574,848,1422
1132,921,2053
1227,152,1379
490,186,676
682,583,1265
986,750,1736
1382,152,1534
645,229,874
880,720,1600
1278,850,2128
1256,136,1392
503,156,659
681,728,1409
1159,845,2004
1056,79,1135
246,81,327
406,481,887
713,503,1216
1435,185,1620
731,234,965
938,809,1747
1420,1086,2506
1787,114,1901
1012,130,1142
1186,575,1761
1538,1029,2567
1256,152,1408
519,181,700
706,766,1472
1198,759,1957
1676,171,1847
958,215,1173
1160,780,1940
1631,952,2583
1605,114,1719
830,177,1007
1051,646,1697
1427,833,2260
1327,128,1455
566,198,764
794,569,1363
1072,646,1718
1302,163,1465
576,238,814
809,918,1727
1396,1514,2910
1180,152,1332
443,317,760
766,732,1498
1087,1254,2341
1129,136,1265
376,192,568
590,461,1051
766,680,1446
1855,256,2111
1222,303,1525
1427,826,2253
1857,1150,3007
1095,136,1231
342,209,551
573,635,1208
906,1297,2203
1718,185,1903
1014,223,1237
1210,884,2094
1778,1712,3490
1248,172,1420
531,212,743
729,959,1688
1383,1960,3343
1513,187,1700
811,275,1086
1057,1042,2099
1731,969,2700
1349,185,1534
645,270,915
888,1041,1929
1566,1539,3105
1604,185,1789
900,254,1154
1127,611,1738
1391,617,2008
1225,79,1304
415,101,516
595,441,1036
842,471,1313
1204,185,1389
500,266,766
739,745,1484
1125,700,1825
1246,136,1382
493,148,641
663,863,1526
1285,783,2068
1163,95,1258
369,107,476
539,451,990
789,619,1408
1350,171,1521
632,217,849
836,636,1472
1162,1069,2231
1116,136,1252
363,264,627
649,468,1117
760,478,1238
1099,79,1178
289,93,382
461,693,1154
968,649,1617
1299,185,1484
595,243,838
811,677,1488
1152,904,2056
1292,152,1444
555,210,765
771,879,1650
1347,959,2306
1132,130,1262
373,165,538
566,696,1262
1004,640,1644
1262,152,1414
525,209,734
740,613,1353
1051,1037,2088
1306,185,1491
602,332,934
907,740,1647
1222,1112,2334
1134,79,1213
324,163,487
566,666,1232
976,674,1650
1354,185,1539
650,270,920
893,871,1764
1400,1565,2965
1377,152,1529
640,291,931
937,1097,2034
1650,1720,3370
1255,185,1440
551,229,780
753,727,1480
1157,1205,2362
1097,152,1249
360,131,491
497,528,1025
801,514,1315
1214,152,1366
477,204,681
687,532,1219
922,532,1454
1844,153,1997
1108,155,1263
1268,849,2117
1869,815,2684
2369,167,2536
1647,351,1998
1989,872,2861
2417,1324,3741
1449,169,1618
729,234,963
952,785,1737
1410,1984,3394
1217,96,1313
424,174,598
660,525,1185
918,515,1433
1425,152,1577
688,227,915
921,660,1581
1261,955,2216
1141,152,1293
404,182,586
592,669,1261
985,726,1711
1202,185,1387
498,322,820
793,745,1538
1123,1390,2513
1133,79,1212
323,122,445
524,375,899
683,320,1003
1237,133,1370
481,190,671
696,499,1195
912,499,1411
1338,153,1491
602,248,850
855,474,1329
988,667,1655
1274,95,1369
480,166,646
709,641,1350
1090,1191,2281
1233,136,1369
480,191,671
693,621,1314
1029,693,1722
1146,130,1276
387,151,538
566,610,1176
932,525,1457
1120,152,1272
383,272,655
661,681,1342
977,1096,2073
1656,169,1825
936,237,1173
1162,911,2073
1743,1076,2819
1251,185,1436
547,240,787
760,984,1744
1411,984,2395
2024,229,2253
1364,264,1628
1557,965,2522
2165,1398,3563
1235,187,1422
533,219,752
723,835,1558
1246,934,2180
1232,152,1384
495,209,704
710,698,1408
1105,688,1793
1151,114,1265
376,183,559
603,519,1122
846,555,1401
1194,152,1346
457,239,696
702,692,1394
1062,808,1870
2102,185,2287
1398,300,1698
1671,1144,2815
2422,1731,4153
3799,163,3962
3073,166,3239
3234,805,4039
3780,803,4583
1455,189,1644
755,243,998
967,952,1919
1583,1647,3230
1140,136,1276
387,168,555
577,536,1113
852,542,1394
1344,136,1480
591,174,765
787,765,1552
1285,1300,2585
1287,152,1439
550,196,746
752,857,1609
1320,1973,3293
1345,185,1530
641,235,876
849,586,1435
1107,1011,2118
1470,136,1606
717,207,924
946,776,1722
1422,1284,2706
1141,152,1293
404,204,608
614,606,1220
922,722,1644
1665,188,1853
964,239,1203
1173,703,1876
1544,1480,3024
1321,136,1457
568,236,804
826,573,1399
1070,1354,2424
1241,187,1428
539,193,732
703,586,1289
1003,671,1674
