prompt_tokens,completion_tokens,total_tokens
293,188,481
333,214,547
326,221,547
314,218,532
479,391,870
539,491,1030
488,631,1119
523,490,1013
709,572,1281
508,532,1040
939,406,1345
807,412,1219
830,397,1227
817,445,1262
942,143,1085
956,110,1066
940,187,1127
955,143,1098
949,168,1117
283,139,422
315,213,528
344,277,621
334,265,599
461,430,891
302,254,556
760,337,1097
580,381,961
534,584,1118
562,397,959
913,498,1411
583,613,1196
713,298,1011
704,381,1085
927,502,1429
936,112,1048
938,112,1050
950,143,1093
956,150,1106
943,177,1120
265,139,404
267,171,438
323,203,526
310,192,502
337,267,604
441,433,874
508,362,870
525,434,959
475,487,962
576,410,986
686,451,1137
799,326,1125
743,316,1059
764,937,1701
727,418,1145
932,112,1044
922,138,1060
938,154,1092
934,173,1107
946,110,1056
277,183,460
261,180,441
309,194,503
324,238,562
273,151,424
478,419,897
498,518,1016
471,518,989
538,590,1128
463,380,843
725,400,1125
830,328,1158
898,565,1463
700,412,1112
814,442,1256
945,157,1102
923,112,1035
926,173,1099
944,173,1117
252,137,389
948,120,1068
319,203,522
334,219,553
285,209,494
316,256,572
426,414,840
514,447,961
529,462,991
711,306,1017
548,374,922
523,574,1097
780,525,1305
674,427,1101
766,554,1320
896,532,1428
931,110,1041
944,184,1128
957,173,1130
943,129,1072
258,173,431
964,188,1152
289,199,488
470,349,819
347,216,563
369,248,617
508,387,895
345,256,601
654,426,1080
539,479,1018
578,465,1043
704,423,1127
566,438,1004
810,356,1166
756,393,1149
803,514,1317
947,157,1104
938,124,1062
929,157,1086
933,173,1106
943,165,1108
279,175,454
323,229,552
325,201,526
321,240,561
303,232,535
479,475,954
528,484,1012
510,498,1008
527,573,1100
553,472,1025
787,435,1222
791,397,1188
815,499,1314
876,398,1274
793,490,1283
942,110,1052
926,112,1038
933,131,1064
933,143,1076
943,143,1086
303,167,470
281,168,449
255,151,406
293,204,497
269,151,420
476,316,792
467,371,838
443,448,891
633,299,932
503,526,1029
459,427,886
748,361,1109
678,583,1261
833,535,1368
743,563,1306
937,143,1080
941,112,1053
937,173,1110
929,187,1116
297,210,507
270,183,453
333,236,569
327,228,555
953,173,1126
343,236,579
490,391,881
531,358,889
513,556,1069
531,395,926
706,354,1060
661,339,1000
706,433,1139
867,458,1325
555,458,1013
785,548,1333
934,112,1046
935,173,1108
948,171,1119
943,202,1145
947,188,1135
263,183,446
336,241,577
352,223,575
325,240,565
362,260,622
483,300,783
555,468,1023
569,395,964
608,269,877
541,445,986
536,601,1137
712,360,1072
790,576,1366
754,399,1153
922,618,1540
940,112,1052
924,112,1036
941,159,1100
945,173,1118
948,173,1121
269,156,425
253,178,431
317,238,555
335,181,516
338,212,550
468,343,811
462,434,896
641,224,865
526,470,996
748,422,1170
492,544,1036
792,476,1268
545,419,964
863,516,1379
734,426,1160
955,130,1085
941,199,1140
939,157,1096
943,188,1131
302,186,488
357,263,620
348,224,572
949,150,1099
313,252,565
316,205,521
507,433,940
557,484,1041
570,616,1186
762,453,1215
520,559,1079
533,499,1032
797,415,1212
931,445,1376
816,438,1254
882,681,1563
943,110,1053
938,143,1081
943,157,1100
930,112,1042
957,188,1145
270,163,433
259,174,433
298,198,496
362,237,599
317,222,539
502,351,853
470,488,958
472,334,806
531,419,950
560,511,1071
736,288,1024
792,380,1172
651,317,968
663,391,1054
842,463,1305
935,110,1045
942,143,1085
940,112,1052
939,184,1123
262,155,417
302,204,506
340,273,613
269,168,437
946,187,1133
456,514,970
512,422,934
474,400,874
578,475,1053
738,383,1121
823,429,1252
714,450,1164
788,532,1320
350,286,636
598,554,1152
874,607,1481
935,112,1047
938,157,1095
946,202,1148
954,143,1097
264,186,450
312,194,506
314,216,530
950,171,1121
365,230,595
338,235,573
536,493,1029
498,546,1044
551,438,989
542,513,1055
821,410,1231
858,482,1340
487,398,885
762,637,1399
833,429,1262
707,338,1045
