prompt_tokens,completion_tokens,total_tokens
775,719,1494
1069,164,1233
343,210,553
547,691,1238
947,914,1861
1055,138,1193
303,178,481
501,584,1085
825,515,1340
1053,138,1191
301,175,476
496,712,1208
952,697,1649
1072,180,1252
362,254,616
594,510,1104
768,552,1320
1079,164,1243
353,260,613
607,776,1383
1041,962,2003
1070,109,1179
289,118,407
456,1090,1546
1347,1080,2427
1061,109,1170
280,174,454
503,708,1211
955,743,1698
1097,128,1225
335,177,512
542,689,1231
972,947,1919
1062,113,1175
285,105,390
435,618,1053
866,701,1567
1094,162,1256
366,144,510
506,806,1312
1087,791,1878
1074,138,1212
322,133,455
475,559,1034
820,971,1791
1066,133,1199
309,182,491
516,674,1190
926,870,1796
1056,163,1219
329,158,487
482,543,1025
785,745,1530
1045,151,1196
306,205,511
518,548,1066
779,812,1591
1077,113,1190
300,161,461
506,611,1117
874,1163,2037
1077,209,1286
396,212,608
557,499,1056
762,980,1742
1080,136,1216
326,191,517
539,618,1157
885,787,1672
1066,170,1236
346,166,512
500,654,1154
906,763,1669
1075,127,1202
312,185,497
528,683,1211
944,638,1582
1079,109,1188
298,134,432
481,833,1314
1098,787,1885
1055,142,1197
307,206,513
529,590,1119
831,648,1479
1054,137,1191
301,118,419
440,573,1013
813,915,1728
1072,167,1239
349,225,574
565,740,1305
999,1009,2008
1088,113,1201
311,142,453
498,626,1124
900,607,1507
1069,166,1235
345,144,489
481,675,1156
930,622,1552
1052,140,1192
302,194,496
514,491,1005
729,532,1261
1058,138,1196
306,167,473
493,519,1012
763,505,1268
1040,151,1191
301,191,492
499,660,1159
886,659,1545
1063,133,1196
306,180,486
511,689,1200
938,808,1746
1038,113,1151
261,110,371
416,489,905
714,844,1558
1062,142,1204
314,187,501
517,790,1307
1038,804,1842
1049,140,1189
299,160,459
477,690,1167
925,762,1687
1069,139,1208
318,190,508
527,615,1142
871,798,1669
1060,180,1240
350,241,591
569,909,1478
1155,1254,2409
1098,138,1236
346,134,480
500,494,994
778,588,1366
1088,193,1281
391,229,620
585,861,1446
1135,1096,2231
1065,184,1249
359,254,613
587,1000,1587
1252,2147,3399
1057,128,1185
295,161,456
486,471,957
714,573,1287
1070,113,1183
293,144,437
482,545,1027
802,946,1748
1068,167,1235
345,217,562
553,585,1138
839,897,1736
1059,167,1226
336,232,568
559,446,1005
692,1264,1956
1063,160,1223
333,273,606
604,732,1336
981,1351,2332
1048,191,1239
349,209,558
525,819,1344
1054,756,1810
1068,175,1243
353,375,728
711,493,1204
747,494,1241
1054,163,1217
327,246,573
568,556,1124
796,1000,1796
