prompt_tokens,completion_tokens,total_tokens
698,389,1087
1072,176,1248
359,260,619
606,1215,1821
1435,684,2119
1079,108,1187
254,156,410
465,487,952
714,437,1151
1026,165,1191
346,169,515
468,662,1130
880,625,1505
1061,112,1173
240,172,412
463,854,1317
1019,355,1374
1053,127,1180
335,191,526
518,675,1193
876,665,1541
1018,127,1145
256,160,416
452,640,1092
806,485,1291
1050,161,1211
322,130,452
498,716,1214
914,313,1227
1074,104,1178
245,143,388
447,886,1333
1064,673,1737
1066,141,1207
318,187,505
527,465,992
635,398,1033
1012,138,1150
261,200,461
486,678,1164
838,540,1378
1001,163,1164
1050,241,1291
402,310,712
678,698,1376
896,585,1481
1030,155,1185
296,152,448
456,311,767
489,332,821
1022,141,1163
274,174,448
470,815,1285
985,236,1221
1012,108,1120
231,138,369
424,474,898
634,437,1071
1001,163,1164
319,165,484
440,613,1053
762,491,1253
1033,161,1194
305,194,499
501,704,1205
885,545,1430
1077,208,1285
352,234,586
541,1089,1630
1270,739,2009
1080,192,1272
339,238,577
548,878,1426
1062,658,1720
1022,108,1130
241,113,354
409,582,991
752,515,1267
1031,108,1139
250,154,404
459,582,1041
805,479,1284
1035,108,1143
254,147,401
500,452,952
635,425,1060
1011,170,1181
292,188,480
473,694,1167
853,646,1499
1010,108,1118
229,117,346
445,506,951
664,187,851
1028,170,1198
309,245,554
547,440,987
660,401,1061
1044,112,1156
267,165,432
483,713,1196
905,700,1605
1025,127,1152
263,173,436
472,910,1382
1083,509,1592
1008,132,1140
251,147,398
429,826,1255
982,526,1508
1014,137,1151
262,179,441
467,454,921
616,404,1020
996,157,1153
264,252,516
522,835,1357
979,458,1437
1019,112,1131
286,172,458
465,763,1228
930,730,1660
994,155,1149
260,224,484
492,461,953
603,363,966
1018,127,1145
256,186,442
478,637,1115
803,531,1334
1005,112,1117
228,122,350
401,499,900
652,453,1105
1025,103,1128
239,131,370
430,593,1023
766,374,1140
1016,190,1206
317,198,515
488,837,1325
1001,658,1659
1054,161,1215
326,244,570
572,783,1355
985,539,1524
1044,136,1180
291,197,488
515,675,1190
867,476,1343
1021,183,1204
315,253,568
548,987,1535
1156,617,1773
1013,141,1154
265,161,426
448,388,836
549,369,918
1070,127,1197
264,186,450
486,495,981
669,312,981
1024,108,1132
287,147,434
445,685,1130
857,514,1371
1015,139,1154
309,204,513
493,447,940
610,320,930
1019,164,1183
294,231,525
524,963,1487
1130,682,1812
1004,172,1176
287,216,503
494,717,1211
869,449,1318
1024,179,1203
314,207,521
505,821,1326
1037,740,1777
1010,112,1122
233,125,358
409,632,1041
790,622,1412
1019,137,1156
267,146,413
439,526,965
693,453,1146
1021,165,1186
297,231,528
570,1290,1860
1459,733,2192
1024,139,1163
274,177,451
475,1013,1488
1185,665,1850
1002,199,1201
312,219,531
495,773,1268
923,697,1620
1026,112,1138
249,166,415
466,777,1243
951,554,1505
1020,137,1157
268,175,443
469,652,1121
820,650,1470
1028,161,1189
300,179,479
481,818,1299
994,501,1495
1016,141,1157
268,180,448
470,759,1229
923,582,1505
1014,148,1162
273,174,447
462,559,1021
765,482,1247
1051,156,1207
318,161,479
442,617,1059
772,575,1347
1028,172,1200
311,269,580
571,704,1275
880,417,1297
1022,165,1187
298,172,470
468,1044,1512
1214,633,1847
1020,166,1186
341,183,524
521,577,1098
745,559,1304
1030,112,1142
253,152,405
456,594,1050
772,524,1296
1032,179,1211
322,299,621
605,762,1367
942,648,1590
1001,157,1158
269,219,488
494,419,913
568,368,936
1020,137,1157
268,166,434
460,549,1009
717,377,1094
1022,108,1130
241,146,387
442,742,1184
912,588,1500
1021,169,1190
301,209,510
504,706,1210
875,568,1443
1024,112,1136
247,165,412
463,963,1426
1135,492,1627
1016,185,1201
356,182,538
472,679,1151
843,589,1432
1030,247,1277
388,266,654
570,823,1393
1001,623,1624
1026,108,1134
245,154,399
454,446,900
620,335,955
1036,241,1277
388,260,648
570,992,1562
1176,1006,2182
1016,166,1182
293,182,475
472,505,977
669,421,1090
1007,137,1144
255,169,424
450,772,1222
927,468,1395
1023,137,1160
315,153,468
450,551,1001
722,472,1194
1023,161,1184
295,216,511
513,634,1147
805,279,1084
1033,208,1241
352,224,576
531,718,1249
899,757,1656
1016,183,1199
310,195,505
485,1086,1571
1250,679,1929
1014,173,1187
298,226,524
514,908,1422
1070,527,1597
1026,108,1134
245,140,385
440,573,1013
747,553,1300
1021,112,1133
244,161,405
456,643,1099
812,519,1331
1033,184,1217
328,230,558
537,610,1147
791,472,1263
1020,141,1161
272,170,442
464,598,1062
766,542,1308
1026,166,1192
303,191,494
491,500,991
674,564,1238
1041,112,1153
264,184,448
499,719,1218
908,532,1440
1015,139,1154
265,129,394
418,872,1290
1035,553,1588
1013,177,1190
301,221,522
508,918,1426
1079,607,1686
1014,137,1151
262,173,435
461,622,1083
784,401,1185
1007,132,1139
250,165,415
446,730,1176
885,470,1355
1010,112,1122
233,171,404
455,473,928
631,419,1050
1060,165,1225
292,225,517
515,802,1317
966,806,1772
1010,177,1187
298,228,526
512,487,999
645,428,1073
1014,161,1175
286,191,477
479,838,1317
1000,907,1907
1044,158,1202
313,232,545
550,558,1108
750,471,1221
1031,155,1186
297,187,484
492,683,1175
862,667,1529
1015,157,1172
283,210,493
499,650,1149
813,679,1492
1011,172,1183
294,215,509
500,781,1281
940,699,1639
1013,137,1150
261,161,422
448,764,1212
925,359,1284
1024,112,1136
247,163,410
461,705,1166
877,418,1295
1043,161,1204
315,333,648
650,782,1432
973,1022,1995
1016,154,1170
281,156,437
446,364,810
528,340,868
1026,187,1213
324,227,551
527,890,1417
1064,544,1608
1001,196,1197
308,165,473
440,510,950
659,97,756
1036,137,1173
284,189,473
499,975,1474
1159,567,1726
1036,137,1173
284,146,430
456,547,1003
731,487,1218
1008,159,1167
278,162,440
444,516,960
672,508,1180
1031,137,1168
279,138,417
443,552,995
731,516,1247
1004,190,1194
305,217,522
495,764,1259
916,499,1415
1015,158,1173
284,194,478
483,529,1012
692,485,1177
1002,112,1114
225,116,341
392,469,861
619,440,1059
1060,154,1214
281,183,464
473,612,1085
776,651,1427
1025,128,1153
264,113,377
412,499,911
672,474,1146
1005,112,1117
228,118,346
397,515,912
668,511,1179
1031,108,1139
250,116,366
421,550,971
729,516,1245
