prompt_tokens,completion_tokens,total_tokens
342,251,593
304,203,507
451,345,796
501,428,929
420,562,982
541,460,1001
748,341,1089
502,687,1189
558,863,1421
633,555,1188
893,622,1515
1077,926,2003
940,111,1051
955,157,1112
956,163,1119
949,157,1106
942,143,1085
268,164,432
302,179,481
336,227,563
323,209,532
459,383,842
329,189,518
476,360,836
513,410,923
499,368,867
585,415,1000
538,598,1136
564,569,1133
621,491,1112
585,492,1077
816,888,1704
938,143,1081
950,143,1093
956,166,1122
943,157,1100
936,173,1109
339,231,570
298,208,506
317,194,511
326,243,569
310,192,502
534,362,896
542,481,1023
501,459,960
492,610,1102
497,350,847
699,472,1171
659,484,1143
562,309,871
560,550,1110
815,853,1668
938,133,1071
946,143,1089
922,131,1053
934,112,1046
932,168,1100
263,143,406
288,179,467
270,184,454
306,164,470
317,234,551
465,365,830
472,439,911
432,488,920
461,355,816
539,388,927
573,553,1126
639,540,1179
684,719,1403
521,537,1058
731,466,1197
923,108,1031
926,112,1038
948,187,1135
944,143,1087
945,143,1088
248,130,378
255,184,439
304,185,489
305,177,482
352,241,593
408,373,781
465,400,865
484,365,849
544,599,1143
477,581,1058
588,546,1134
558,408,966
571,347,918
809,889,1698
788,820,1608
931,157,1088
964,165,1129
957,173,1130
944,143,1087
305,190,495
347,200,547
512,436,948
943,187,1130
304,221,525
346,209,555
347,210,557
476,473,949
520,412,932
655,587,1242
508,543,1051
528,680,1208
666,715,1381
618,518,1136
906,391,1297
748,868,1616
938,112,1050
933,151,1084
947,157,1104
929,143,1072
943,184,1127
267,146,413
321,227,548
301,199,500
289,155,444
344,264,608
487,458,945
439,419,858
439,451,890
562,461,1023
666,467,1133
653,511,1164
619,494,1113
642,595,1237
529,471,1000
680,590,1270
926,112,1038
933,143,1076
943,163,1106
933,173,1106
942,184,1126
255,183,438
293,184,477
323,191,514
343,277,620
323,240,563
464,389,853
472,521,993
528,530,1058
574,544,1118
489,762,1251
577,438,1015
967,633,1600
725,619,1344
716,687,1403
748,800,1548
937,112,1049
953,163,1116
937,143,1080
929,151,1080
941,184,1125
266,176,442
297,170,467
333,233,566
297,175,472
342,247,589
468,419,887
541,533,1074
459,473,932
462,752,1214
543,986,1529
618,573,1191
748,610,1358
664,664,1328
951,624,1575
1189,541,1730
934,143,1077
948,187,1135
935,163,1098
943,202,1145
947,188,1135
294,204,498
315,230,545
362,279,641
352,286,638
352,236,588
577,395,972
588,344,932
520,500,1020
493,382,875
600,574,1174
539,636,1175
578,673,1251
697,673,1370
553,610,1163
846,662,1508
948,120,1068
945,173,1118
941,124,1065
940,112,1052
924,138,1062
285,167,452
282,198,480
279,153,432
335,210,545
